Q: http://ssd.jpl.nasa.gov/sbdb_query.cgi#x, alle Asteroiden aus dem Main-belt  mit Durchmesser größer 10 km 
name,diameter,e,a,orbital_period_in_years,albedo,period_of_rot_in_h,GM
"   141 Lumen",131.03,.2147734038435887,2.664880145699645,4.35035526165994,0.0540,19.87,
"   142 Polana",55.29,.1345732773287678,2.41890553155727,3.7621539547345,0.0451,9.764,
"   143 Adria",89.93,.07426345570281317,2.760364770211646,4.58625202206491,0.0491,22.005,
"   144 Vibilia",142.38,.2343386376480784,2.657339141851291,4.33190255950594,0.0597,13.819,
"   145 Adeona",151.14,.1444442417373065,2.673544337135423,4.37158863554806,0.0433,15.071,
"   146 Lucina",132.21,.06678615001635646,2.717928369895671,4.48089959408387,0.0531,18.557,
"   147 Protogeneia",132.93,.02802043740220974,3.135121276060461,5.55123637510541,0.0492,7.8528,
"   148 Gallia",97.75,.1856784874669636,2.773383844061804,4.61873637100685,0.1640,20.664,
"   149 Medusa",19.75,.06538557098580386,2.1747188746576,3.2071028515261,0.2334,26.023,
"   150 Nuwa",151.13,.1257262864932339,2.98346147439557,5.15334067390139,0.0395,8.1347,
"   151 Abundantia",45.37,.03362301749522999,2.592075521210834,4.17330070178678,0.1728,9.864,
"   154 Bertha",184.93,.07726104479203913,3.19693824851646,5.71622840454087,0.0480,25.224,
"   155 Scylla",39.9,.2776448818051887,2.755838767812933,4.57497694880643,0.0309,7.9597,
"   156 Xanthippe",120.99,.227384194916733,2.726754774445976,4.50274471990397,0.0422,22.37,
"   158 Koronis",35.37,.05213040237440196,2.868577771674266,4.85856643374989,0.2766,14.218,
"   159 Aemilia",124.97,.107750329434524,3.103347996304816,5.46706099990657,0.0639,24.476,
"   160 Una",81.24,.06625680146408022,2.728022257532883,4.50588461498888,0.0625,11.033,
"   161 Athor",44.19,.1372369475309033,2.379389592651078,3.67034204530202,0.1980,7.280,
"   162 Laurentia",99.10,.1788745245777597,3.017652472672287,5.24218129655894,0.0529,11.8686,
"   163 Erigone",72.63,.1906419044275817,2.36746405307917,3.64278292770191,0.0546,16.136,
"   164 Eva",104.87,.3457735658374746,2.633753081856842,4.27435695342728,0.0447,13.66,
"   165 Loreley",154.78,.08488707763160547,3.12513558566934,5.52473559915327,0.0642,7.226,
"   167 Urda",39.94,.03661770034265521,2.853851121254271,4.82120026904762,0.2230,13.07,
"   169 Zelia",33.60,.1304041029751715,2.358642884218006,3.62244239566934,0.2347,14.537,
"   170 Maria",44.30,.06338821510747827,2.554227079000212,4.08222990140333,0.1579,13.120,
"   171 Ophelia",116.69,.132493139814866,3.132560991821797,5.54443767116939,0.0615,6.66535,
"   172 Baucis",62.43,.1145421207340448,2.379929552303798,3.67159149330344,0.1382,27.417,
"   173 Ino",154.10,.2072368435119416,2.745932774703812,4.55033167186776,0.0642,6.15,
"   174 Phaedra",69.24,.1412769933561229,2.861502787704407,4.84060296263457,0.1495,5.744,
"   175 Andromache",101.17,.2326655933535955,3.18532594384211,5.68511194229666,0.0819,8.324,
"   176 Iduna",121.04,.167957421013061,3.188019973492044,5.69232584992103,0.0834,11.2877,
"   177 Irma",73.22,.2374903617853998,2.768504327313234,4.60655236396088,0.0527,13.856,
"   178 Belisana",35.81,.0429614273037334,2.460592248684605,3.85982557684131,0.2438,12.323,
"   179 Klytaemnestra",77.69,.1139139889229912,2.970746757734774,5.12043255354225,0.1609,11.173,
"   181 Eucharis",106.66,.20347384444793,3.129584929017009,5.53653837962167,0.1135,52.23,
"   182 Elsa",43.68,.1854130310882983,2.416104258457732,3.75562056467983,0.2083,80.088,
